art_sifra,agp_id,sifra,vpc,aktivan,stanje,art_naziv,kataloski,grupanaziv,proizvodjac,hash
100000,1,100000,204.188,0,0,HP toner Q2612A (12A) Black,Q2612A,Toneri originalni,HP,5bc1d31977dc5f10178f5093ae9b3e6f
100001,1,100000,270.641,0,0,HP toner C4096A (96A) Black,C4096A,Toneri originalni,HP,59e163887eb1699f750af4465c359779
100002,1,100000,170.0,0,0,HP toner C7115A (15A) Black,C7115A,Toneri originalni,HP,4dd23ad7cdc0d37608f7991aa389daa0
100003,1,100000,150.983,0,0,HP toner C9700A (121A) Black,C9700A,Toneri originalni,HP,e7bd24be3f9f83f4db27ba5b0e5f935e
100004,1,100000,179.487,0,0,HP toner C9701A (121A) Cyan,C9701A,Toneri originalni,HP,d4c0d4006f7f5d35c37c547774a4e697
100005,1,100000,327.65,0,0,HP toner Q2610A (10A) Black,Q2610A,Toneri originalni,HP,cdd43fa6a371e976cdbca4e50c180932
100006,1,100000,293.462,0,0,HP toner Q6511A (11A) Black,Q6511A,Toneri originalni,HP,fc5367d12dff92b8350dc59e71c0cfff
100007,1,100000,207.991,0,0,HP toner Q6002A (124A) Yellow,Q6002A,Toneri originalni,HP,6c3c5085e425330f15e943a5f2841291
100008,1,100002,132.009,0,0,Canon toner CRG-703 Black,7616A005AA,Toneri originalni,Canon,84309e8cd3bb4ae3523d78b8351262b5
100009,1,100000,198.462,0,0,HP toner CB436A (36A) Black,CB436A,Toneri originalni,HP,1b8fe81c1ba97abd97f689843e1dc112
100010,1,100000,175.684,0,0,HP toner CB435A (35A) Black,CB435A,Toneri originalni,HP,422b4c90e6a2913504ad776dbe29b657
100011,1,100000,207.991,0,0,HP toner Q5949A (49A) Black,Q5949A,Toneri originalni,HP,548a71018089ba36bb800db5bcf75e11
100012,1,100000,207.991,0,0,HP toner CB540A (125A) Black,CB540A,Toneri originalni,HP,fce77545c248eb972996bf868e347ed4
100013,1,100004,150.983,0,0,MAK ZARA čokolade sa uključenim brendiranjem 90g,ML-2010D3,Toneri originalni,Samsung,00d23ae6e49758abc4a3cc26194b8193
100018,26,100000,407.436,0,0,HP Mono Laser MFP M1120 CB537A,CB537A,Laserski multifunkcijski printeri,HP,5a136ffa2b198f19c7055256f6ec2f81
100019,26,100000,682.821,0,0,HP Mono Laser MFP M1319f CB536A,CB536A,Laserski multifunkcijski printeri,HP,141a3b3198e827383a683255936eee76
100022,23,100005,1613.504,0,0,"Epson FX-2190 A3, matrični printer",C11C526022,Matrični printeri,Epson,37e2c195f87f9abbf32e667129dc052c
100023,22,100000,3750.256,0,0,HP Mono Laser Printer LJ 5200 A3 (Q7543A),Q7543A,Laserski printeri,HP,db1292e5c3763936e73dc5fd13c1ba8f
100026,22,100000,502.393,0,0,HP LaserJet P2055d (CE457A),CE457A,Laserski printeri,HP,d3390115719a627ba94ed1f6a787b87c
100027,22,100000,663.803,0,0,HP LaserJet P2055dn (CE459A),CE459A,Laserski printeri,HP,3eabca7e5cfe0792cf37b2d36ef223cc
100030,58,107096,24.786,0,0,"Targus torba 15,4 ONT088EU",ONT088EU,Torbe za laptope,Targus,25f0a204e0b209c2235b15828db72339
100042,1,100002,232.65,0,0,Canon toner T Black,CARTRIDGE T,Toneri originalni,Canon,027807fe879536d4a401e024e76d9052
100043,208,100002,122.521,0,0,Canon toner C-EXV12 Black,9634A002AA,Toneri i potrošni materijal za Kopire,Canon,950c2fdc71dbb046dc867881494b639f
100062,208,100002,226.966,0,0,Canon toner C-EXV13 Black,0279B002AA,Toneri i potrošni materijal za Kopire,Canon,89321f1115fd4c735b4857af3786cada
